0.05_1,0.05_2,0.05_3,0.05_4,0.05_5,neg_0.05_1,neg_0.05_2,neg_0.05_3,0_1,0_2,0_3,0_4
0.350121092,-0.019109672,0.173403469,0.225004179,0.168905716,0.050694831,0.02750924,0.018369342,0.01037239,0.039032246,0.034714509,0.096669638
0.362126326,-0.01723039,0.181952741,0.233476428,0.176730677,0.051836567,0.027436666,0.020452572,0.010895767,0.039594314,0.03621102,0.098177609
0.374387674,-0.014533266,0.190581211,0.242059625,0.184646929,0.052827583,0.0273513,0.022902194,0.011286568,0.040158067,0.03765377,0.099711734
0.386852745,-0.010982366,0.199189927,0.250759474,0.192625608,0.053659432,0.0272569,0.025727539,0.011534917,0.040696096,0.03906732,0.101291282
0.399539391,-0.006557027,0.207746826,0.259549384,0.200638525,0.054331645,0.027156369,0.028933125,0.011647256,0.041199716,0.040453703,0.102915496
0.412454994,-0.001250595,0.21627452,0.268430666,0.208689183,0.054854018,0.027052586,0.032538977,0.011639771,0.04167138,0.041798289,0.104571028
0.425577498,0.004934049,0.224819041,0.277401266,0.216764915,0.055250876,0.02694999,0.036584975,0.011534024,0.042104539,0.043088352,0.106250336
0.438853491,0.011964895,0.233419363,0.286437742,0.224832483,0.055549283,0.026855503,0.041099019,0.011353637,0.042488827,0.044318984,0.107955549
0.452214467,0.019787678,0.242059957,0.295526008,0.232872595,0.055762849,0.026777866,0.046091951,0.011121949,0.042830615,0.045479198,0.109676531
0.465576324,0.028361418,0.250675126,0.304661942,0.240858359,0.05589958,0.026725382,0.051562181,0.010860443,0.043151865,0.046536258,0.111386329
0.478830362,0.037672019,0.2592432,0.313850661,0.248777824,0.055974958,0.026704281,0.057490174,0.010587802,0.043485095,0.047461331,0.113055352
0.491854066,0.047732708,0.267804191,0.323096608,0.256656005,0.056006199,0.026714491,0.063849123,0.01031899,0.043877858,0.048260443,0.114663405
0.504535794,0.058589759,0.276360845,0.332399359,0.26450281,0.056011864,0.026750534,0.070615839,0.010060962,0.04436532,0.048964881,0.116208075
0.51679716,0.070300103,0.284870199,0.341765471,0.272321924,0.056021556,0.02680708,0.077769732,0.009803581,0.044959534,0.049610714,0.117706211
0.528615506,0.082779856,0.29327154,0.351179856,0.280138473,0.056067172,0.026880449,0.085282738,0.009522328,0.045672103,0.050243036,0.11917714
0.540015153,0.095836536,0.301494962,0.360611408,0.287950595,0.05616634,0.026967094,0.093118131,0.009198437,0.046503145,0.05092488,0.120646789
0.551009417,0.109301928,0.309498145,0.370058594,0.295725992,0.056323306,0.02706616,0.101242311,0.008829998,0.047426445,0.051720675,0.122152684
0.561605284,0.123107441,0.317271256,0.379501958,0.303445974,0.056534618,0.027180316,0.10963796,0.008427759,0.048410611,0.052688553,0.123729147
0.571820178,0.13726976,0.324810023,0.388885332,0.311082331,0.056793654,0.027312641,0.118279832,0.008009568,0.049437854,0.053876148,0.125416101
0.581675983,0.151749033,0.332225462,0.398164229,0.318589376,0.057095189,0.027467248,0.12712796,0.007596334,0.050499025,0.055309042,0.127241029
0.591201611,0.16647036,0.339942934,0.40731701,0.325937583,0.05743319,0.027651424,0.136146983,0.007209192,0.051593246,0.057002776,0.129199896
0.600423134,0.181373716,0.348086702,0.416325891,0.333122192,0.057798684,0.027876125,0.145281358,0.006865258,0.052729129,0.05897211,0.131284944
0.609337254,0.196396246,0.356255465,0.425196628,0.340153884,0.058186422,0.0281507,0.154470089,0.006568866,0.053924417,0.061218518,0.133507052
0.617918032,0.211454968,0.364098584,0.433946792,0.347047458,0.058595236,0.028480549,0.163656718,0.006314572,0.055198875,0.063723134,0.13589595
0.626163114,0.22647192,0.371410934,0.442576231,0.353810248,0.059017846,0.028870212,0.172805735,0.006101896,0.056560594,0.066464212,0.138486205
0.634079454,0.241376889,0.378098642,0.451087449,0.360448386,0.059441086,0.029319084,0.181925556,0.005939742,0.058003351,0.069426892,0.141292182
0.641678859,0.256040117,0.384149065,0.459491303,0.366988074,0.059860526,0.029822024,0.191030017,0.005842327,0.059503292,0.072599168,0.144306554
0.64896745,0.270298285,0.389582354,0.467801025,0.373465629,0.060292322,0.030375816,0.200124784,0.005825029,0.061023542,0.075979977,0.147518624
0.655945355,0.284031069,0.394445689,0.47600322,0.379904925,0.060757755,0.030977407,0.209211626,0.005901494,0.062525064,0.079569953,0.150915389
0.662615529,0.297143758,0.398833978,0.484074427,0.386314603,0.061263996,0.031617347,0.218296073,0.006079461,0.063971792,0.083358692,0.15447983
0.668914165,0.309517379,0.402875096,0.492007881,0.392679362,0.061805728,0.032280153,0.227385323,0.006352252,0.065329995,0.087331859,0.158189946
0.674823865,0.321043086,0.406708053,0.499800268,0.399006347,0.062365156,0.032950719,0.236466665,0.006702447,0.066576209,0.091474397,0.162030179
0.6804562,0.331651359,0.410458055,0.50744604,0.405354961,0.062904852,0.033615673,0.245526958,0.007118102,0.067714582,0.09576989,0.165992799
0.6859333,0.341249614,0.414229387,0.514942382,0.411794686,0.06337632,0.034263852,0.25458275,0.007598529,0.068767455,0.100201099,0.170044697
0.691340933,0.349765592,0.418216086,0.522288225,0.418378079,0.063741021,0.034887272,0.26367125,0.008149292,0.069754856,0.104738949,0.174138239
0.696728893,0.357193647,0.422881715,0.529470606,0.425133937,0.063984635,0.035481621,0.272838739,0.008771184,0.070699987,0.109339181,0.178243406
0.702115852,0.363518987,0.428393501,0.536479182,0.43206726,0.064102373,0.036044503,0.282131329,0.009453458,0.071630997,0.113950497,0.182338357
0.707537296,0.368745635,0.434406984,0.543313756,0.439170796,0.064097141,0.036571251,0.291559456,0.010180599,0.072560906,0.11852266,0.186460371
0.713048383,0.372960245,0.440610036,0.549963631,0.44643907,0.063993565,0.037054614,0.301100553,0.010942837,0.073473359,0.123027542,0.190706908
0.718674605,0.376259923,0.446824019,0.556423758,0.45424253,0.063834405,0.037497728,0.310740874,0.011729848,0.07435095,0.127458903,0.195096785
0.72443416,0.378723522,0.452965506,0.562688678,0.464002137,0.063664918,0.037899295,0.320467326,0.012522061,0.075207696,0.131814837,0.19960345
0.730373262,0.380456475,0.45902586,0.568709517,0.47613645,0.063528064,0.038221219,0.330266475,0.01329617,0.076070854,0.136105208,0.204249901
0.736565382,0.38159547,0.46500608,0.574460907,0.489228507,0.063484952,0.038448337,0.340130973,0.014033416,0.076964995,0.140362222,0.209045688
0.743065065,0.38229486,0.470917885,0.579971083,0.501970273,0.063607907,0.03862371,0.350079246,0.01472242,0.077909525,0.14460056,0.213988262
0.749886994,0.382719069,0.476834322,0.585271696,0.513518371,0.063928421,0.038799382,0.360170938,0.015352586,0.078910705,0.148808756,0.219071997
0.757029675,0.383020359,0.482842969,0.590383807,0.523384223,0.064476827,0.039025576,0.370457046,0.015910684,0.079972028,0.152986078,0.224304644
0.764509193,0.383365126,0.489029731,0.595323101,0.531357657,0.065343158,0.039359259,0.38096866,0.016394328,0.081092729,0.157142956,0.229733272
0.772375905,0.383923122,0.495479528,0.600110929,0.537438676,0.066597795,0.039861273,0.391717975,0.016828721,0.082257091,0.161272935,0.235408503
0.780634541,0.384828112,0.502295648,0.604767714,0.541805887,0.068267439,0.04057713,0.402690209,0.017251812,0.083448792,0.165357883,0.241342498
0.789230715,0.386195617,0.509541502,0.609318656,0.54477161,0.070372269,0.041541943,0.413891017,0.017686692,0.084653546,0.169397268,0.247523751
0.798117427,0.388106144,0.517210627,0.613793562,0.546720145,0.072960267,0.042780324,0.425333665,0.018130247,0.085856956,0.173397752,0.253931499
0.807285092,0.390573482,0.525274285,0.618213213,0.548056712,0.076118935,0.044327036,0.438372634,0.018573891,0.087049375,0.17735899,0.260560633
0.816708402,0.393565213,0.533685401,0.622600424,0.549177073,0.079911488,0.046239092,0.450280384,0.019021171,0.088212625,0.18126861,0.267421564
0.826303866,0.397035789,0.542415596,0.626978202,0.550427984,0.0843488,0.048554624,0.461026756,0.019482412,0.089315854,0.185117786,0.274523651
0.835979376,0.400910797,0.551456761,0.631361537,0.552102458,0.089499678,0.051305962,0.473278632,0.019974165,0.090344557,0.188922032,0.28191422
0.845680298,0.405113782,0.560784675,0.63577469,0.554470619,0.095533916,0.054544173,0.48568761,0.020513104,0.091293803,0.192694497,0.289618397
0.855399429,0.40962464,0.570342445,0.640248089,0.557760426,0.102617631,0.058329331,0.498322543,0.021105995,0.092161941,0.196397746,0.297582735
0.865181353,0.41449459,0.580120126,0.644820508,0.562151007,0.110857496,0.062723943,0.511225327,0.021752791,0.092969967,0.200015626,0.30573399
0.875074185,0.41978794,0.590209984,0.64952321,0.567748395,0.120287237,0.067790086,0.524410122,0.022448887,0.09374697,0.203601059,0.314013505
